ID_ART	Sep_2024	Oct_2024	Nov_2024	Dic_2024	Ene_2025	Feb_2025	Mar_2025	Abr_2025	May_2025	Jun_2025	Jul_2025	Ago_2025
AUELME611	9,8	7,8	8	7,6	6,4	7,6	6	7,6	7,6	7,6	7,6	6
HEELAIRKIT20	7,2	4,2	7,4	9,4	6	6	12	8,6	7,8	5,8	8,4	8,4
HEELCA1024S	17	19,8	18,8	23	18,6	16,6	20	21,8	21,2	18,6	18,6	21,8
HEELVC0535P	8,4	8,4	9,8	8	7,6	8	8	7	8	8,8	6,6	8,8
HEELXB0420	3,2	5,8	3,2	4,6	6,2	3,6	5,6	5	3,6	5,6	3,2	3,6
HEELXIW20	4,4	5,2	4,4	5,2	5,6	5,2	5,4	5,2	5,2	4,4	5,4	4,4
HEFUBFCD21	3,8	3,2	3,2	3,2	3,6	4,2	3,6	3,8	3,6	3,8	4,2	4,2
HEFUCBFCD12	1	0,6	0,6	0,4	0,4	0,4	0,2	0	0	0	0	0
HEFUCBFCD21	2,4	2,8	3,2	2,4	2,2	2,6	2,4	2,2	2,6	2,8	2,4	2,6
HEFUFCD12KIT	31,6	21,4	30	27,8	27,6	19,6	32,4	21	30,4	19,6	32,4	20,4
HEFUFCS2511	8,6	9,6	6,2	9,4	8,6	6	8,8	8,6	6,8	8,8	8,6	9,2
HEFUFG71	59,2	64,6	46,8	56,4	50,8	44,6	50,2	36,6	39,4	33,6	49,2	52
HEFUFHG18	22	27,4	24,2	24,4	20,8	20,2	28	26,8	27	24,4	19,4	22,6
HEFUFPS25	9	9,6	11	10,6	9	9	9	9	9	9	9	9
MADUDG23I	2,6	2,4	2,6	1,2	2,6	1	3,4	0,6	3,4	1,2	3,4	1,2
MADUDG401I	0,4	0,4	0	0	0	0	0	0	0	0	0	0
MAEL2G10I	9,8	7,6	5,6	5,6	7,8	4,8	3,2	2,6	3,2	4	5,4	5,4
MAEL2G40	9	12	8	12,6	6,6	8,6	11,2	8,8	12,4	7,2	8,6	7
SOELAT2635504M	2,6	2,6	1	3,6	2,4	2,4	4,4	1,4	1,8	3	2,8	2,6
SOELCSVM760	12,6	15,6	9,6	10,2	10,2	11	15,6	12	10,2	9,2	9	12,6
SOELPMS6505	2,6	2,8	1,4	1,6	1,6	1,4	1,6	1,6	1,6	1,6	1,6	1,6
SOELSI7160XP	18,2	17,4	20,8	20,8	18,2	19,8	20,8	20,8	20,8	19,8	20,8	20,8
SOELSI8225AL	4,8	1,4	4,8	1,2	3,8	2	3,2	3,4	3,4	3,6	2,6	3,8
SOELSI8300MG	9,8	4	8,4	7,6	11,2	8	11,2	9	9,2	10	8,2	7,6
SOELSI9220MP	10,6	6,8	11	7,6	10	7	13	7	11,2	7,6	10	8
SOELSI9250DV	10,6	9,4	12	7,6	12	7,8	13	7,4	12,4	7,4	12,4	7,4
SOFUFW125	11,6	11,2	14,4	16	16,4	12	14,4	16,2	16,6	11,6	14,4	14,6
SOFUFW185	16,4	16,2	18	16,8	17,6	17,6	17,6	16,2	17,6	16,2	16,2	16,2
SOFUFW205CEL	26	26	29,4	26	26	26	26	26	26	26	26	26
SOFUFW255P	12	11,2	8,6	6,6	7	8,8	8,6	8,6	9,4	8,6	8,6	8,6
SOFUFW81	6,8	9,8	6,8	9,8	6,8	9,8	6,8	9,8	6,8	9,8	6,8	9,8
SOFUFWA4012	1,6	1,4	1,6	1,4	1,6	1,4	1,2	1	1,4	0,6	1	0,6
SOFUFWA4013	1	0,6	0,8	0,4	1	0,4	1	0,4	0,8	0,4	0,8	0,4
SOFUFWA4014	0	0	0	0	0	0	0	0	0	0	0	0
SOSWM3-215	18,4	15,6	10,4	14,4	17	17	17,8	17,8	18,6	16	14,4	14,4
SOSWM3-225	6	4,2	6,8	5,6	9	7,6	7,6	4,2	6,8	5,6	6,8	8
SOSWM3-316	3,4	1,4	3,4	7,2	10,6	10,8	10,4	5,4	4,8	3,2	5	5,2
SOSWM3-325	10,4	8,4	8,4	7,6	7,6	10,4	8,4	8,4	8,4	8,4	7,6	7,6
SOSWM3-327	3,2	2,8	2,8	2,8	3,2	3,2	3,2	3,2	3,2	3,2	3,2	3,2
SOSWP1-330	1	0,8	0,8	0,6	1	0,8	0,6	1	1,2	1	1,2	1,2
SOSWP2-417	1	1	1	1	1,2	1,2	1,2	1,2	1,2	1,2	1,2	1,2
AUACBOOM06T	5,4	2,4	0,2	2	1,8	1,8	0	0	0	0	0	0
AUACKH60K	0	0	0	0	0	0	0	0	0	0	0	0
AUACMTD624	4,8	4,8	4	4	4	4	4	4	4	4	4	4
AUACSPRING50L	0,2	0,4	0,6	0,2	0	0	0	0	0	0	0	0
AUACSPRING50R	0,2	0,4	0,2	0	0	0	0	0	0	0	0	0
AUACSPRING55R	5,8	2	5,8	5,8	5,8	5,8	5,8	5,8	5,8	5,8	5,8	5,8
AUACSPRING60L	2	2,6	2	2	1,4	1,4	1	0	0	0	0	0
AUACSPRING70L	1,4	1,4	1,4	1,4	1,4	1,4	1,4	1,4	1,4	1,4	1,4	1,4
AUACSPRING70R	2,4	2,2	3,4	2,4	2,2	2,2	2,2	2,2	2,2	2,2	2,2	2,2
AUACSPRING80L	2,6	1,6	2,6	1,6	1,6	1,2	1,2	1,2	0	0	0	0
AUACSPRING80R	0,4	1,8	3,2	0	1,8	1,8	0	1,8	1,8	0	1,8	1,8
AUELEP100240	3	3,8	3	3	4,8	3	3	3	3	3	3	3
HEFUFDH1320	0,6	0	0	0	0	0	0	0	0	0	0	0
HEFUFRM13030	9	7,2	9	9	9	9	9	9	9	9	9	9
SOELKITSI7160XP	5,6	5,6	5,6	5,6	5,6	5,6	5,6	5,6	5,6	5,6	5,6	5,6
SOFUFW121	12,4	12,4	12,4	12,4	12,4	12,4	12,4	12,4	12,4	12,4	12,4	12,4
SOSWM1-117	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6	0,6
SOSWM3-326	0	0	0	0	0	0	0	0	0	0	0	0
SOSWSWA2850	1,2	1,4	2	2	2,6	2	2,6	2,6	2,6	2,6	2,6	2,6
SOSWSWW2760	1	0,6	0,8	0,6	0,4	0	0	0	0	0	0	0
SOSWSWW4070MV	0,8	0,8	0,8	1	1	1	1	1	1	1	1	1
AUACAE25	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029	2,08522029
AUACALS4	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049	17,79442049
AUACMN20	2,685790265	1,754948404	1,454438414	1,653370075	1,966711787	3,422495998	3,858121783	2,715811031	1,562549893	2,336943253	2,278242569	3,3230833
AUELCR433	12,08542766	7,046535605	11,06544065	9,056714824	8,082536233	9,636034448	9,06329391	8,707698672	9,216806003	9,07679391	8,951824213	9,121156881
HEELAG230	4,956972388	3,668899711	3,057727592	5,956182669	8,463016289	10,23710051	2,411164141	4,994543817	3,668899711	3,057727592	5,956182669	8,463016289
HEELID600	16,0515484	15,31877062	13,6693103	28,00573158	17,17596109	14,34993484	34,83040462	29,474409	15,66964913	30,44670971	36,45604975	17,92026791
HEELVC2525P	11,08518163	15,76078013	10,6006896	14,80976521	10,68809292	14,22571791	15,03016115	10,96834494	15,13691144	11,44449224	14,98645357	14,10816979
HEELXAG20	13,20031274	12,5039129	10,77154649	9,866454681	9,243180225	9,44424339	9,865349257	9,731349257	9,694015923	9,694015923	9,694015923	9,694015923
HEELXID20	16,35784246	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329	16,44295329
HEFUFC25	11,23907161	13,47363936	11,35612654	15,26164552	15,95086199	14,79571745	13,39956331	11,73791103	15,14027173	12,80629304	13,02833651	13,99465541
SOELCSVM500OP	0,683182263	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853	1,20807853
SOSWC1-620	6,43	6,43	6,43	6,43	6,43	6,43	6,43	6,43	6,43	6,43	6,43	6,43
SOSWG2-214	5,512575278	4,089488705	5,707397602	7,358375949	6,369023859	7,777066001	7,76975301	7,403428397	7,591774718	7,405138207	7,750598672	7,405138207
